,logS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Cc1ccc(C)nc1,0.4,107.156,98.08399999999999,107.073499288,42,0,0.037236296810616604,-0.2613348406114675,0.2613348406114675,0.037236296810616604,4.078703703703704,1.0792592592592594,4.078703703703704,1.0792592592592594,3.0324555320336755,143.24662946459569,5.983127663125442,5.179264403068836,5.179264403068836,3.7876937002347035,2.6811644246149124,2.6811644246149124,1.9769305361551595,1.9769305361551595,1.0592471214655348,1.0592471214655348,0.5417483294300927,0.5417483294300927,-0.85,70.79892376087899,5.2898601398601395,1.94826211591866,1.0594030875809968,49.38093532923669,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,6.06636706846161,25.477292959539852,11.890771566461538,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,0.0,29.586957195081755,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,11.257379486545457,18.3295777085363,0.0,0.0,0.0,12.89,0.0,0.0,0.0,0.0,0.0,5.693927994848461,5.563451491696996,0.0,26.110685039455934,11.050345589408819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.333333333333336,0.2857142857142857,8,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1.69844,33.71099999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OC1COC(O)C(O)C1O,0.39,150.13,140.04999999999998,150.05282342,60,0,0.18311500623380847,-0.3878997004049285,0.3878997004049285,0.18311500623380847,8.876620370370372,-1.4131944444444449,8.876620370370372,0.15337962962962948,2.515835979311492,102.6059378176129,7.723614639131599,5.213610530408746,5.213610530408746,4.625897657686229,2.9654212444428363,2.9654212444428363,2.272429168850472,2.272429168850472,1.474040131439216,1.474040131439216,0.7906384719647612,0.7906384719647612,-0.2,171.96225538705855,7.90204081632653,2.811342155009452,1.2778911564625854,57.48366857017767,25.162972533162872,18.31189916324491,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.162972533162872,0.0,0.0,0.0,0.0,24.60192589258012,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63491743645586,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,90.15,24.60192589258012,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.333333333333336,1.0,10,4,5,0,1,1,0,0,0,5,4,5,0,0,1,1,1,-2.5823000000000005,29.979199999999988,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccnc(C)c1,0.38,107.15599999999999,98.08399999999999,107.073499288,42,0,0.03747854391934919,-0.26159205366330673,0.26159205366330673,0.03747854391934919,4.04,1.0879629629629632,4.04,1.0879629629629632,3.077660437970554,164.24662946459569,5.983127663125442,5.179264403068836,5.179264403068836,3.7876937002347035,2.681164424614912,2.681164424614912,1.9745731904123045,1.9745731904123045,1.0521561445201004,1.0521561445201004,0.6872740394573614,0.6872740394573614,-0.8500000000000001,64.0524865010122,5.2898601398601395,1.94826211591866,1.0594030875809968,49.380935329236685,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,31.54366002800146,11.890771566461538,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,0.0,29.58695719508175,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,11.257379486545457,18.329577708536295,0.0,0.0,0.0,12.89,0.0,0.0,0.0,0.0,0.0,5.693927994848461,5.563451491696996,0.0,19.18694783976531,17.97408278909944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.333333333333332,0.2857142857142857,8,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1.69844,33.711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cc1cccnc1C,0.38,107.156,98.08399999999999,107.073499288,42,0,0.04012645863504943,-0.2613343140404534,0.2613343140404534,0.04012645863504943,4.078703703703704,1.1180555555555558,4.078703703703704,1.1180555555555558,3.134861511345448,160.49662946459569,5.983127663125442,5.179264403068835,5.179264403068835,3.804530452640311,2.68714748875862,2.68714748875862,1.9057102982872964,1.9057102982872964,1.2711667966168747,1.2711667966168747,0.5646259177748998,0.5646259177748998,-0.85,72.49526582754562,5.2898601398601395,1.94826211591866,0.8609369312528817,49.38093532923669,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,6.06636706846161,25.477292959539852,11.890771566461538,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,0.0,29.586957195081755,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,11.257379486545457,18.3295777085363,0.0,0.0,0.0,12.89,0.0,0.0,0.0,0.0,0.0,5.693927994848461,5.563451491696996,0.0,19.18694783976531,17.97408278909944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.333333333333332,0.2857142857142857,8,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1.69844,33.71099999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O=c1cccc2n1CC1CNCC2C1,0.36,190.24599999999998,176.13399999999996,190.110613068,74,0,0.2502318951828206,-0.3157226764436318,0.3157226764436318,0.2502318951828206,11.637531179138321,0.1658333333333335,11.637531179138321,0.1658333333333335,2.1469341613539945,409.99371289415467,9.543605595440512,8.070640356658142,8.070640356658142,6.84333659290053,5.248605810705696,5.248605810705696,4.356391377895278,4.356391377895278,3.3841419909108277,3.3841419909108277,2.741377411021034,2.741377411021034,-1.09,2789.306704714091,8.237481994583195,2.953088807142451,1.1214348531302354,82.7503972500118,9.883888251797686,0.0,0.0,0.0,5.559266895052007,0.0,4.794537184071822,0.0,0.0,0.0,6.06636706846161,24.949851143461586,30.767713921296615,0.0,0.0,0.0,0.0,9.883888251797686,5.917906046161393,18.883484074999977,13.08951281182515,34.24683327935712,0.0,0.0,10.876055499058339,0.0,0.0,0.0,17.656612459616504,6.544756405912575,5.917906046161393,18.032655663935863,22.993638389456653,0.0,0.0,0.0,34.03,0.0,4.794537184071822,0.0,5.559266895052007,11.835812092322787,19.634269217737724,12.114749617774471,6.06636706846161,10.633466716252965,11.383155672467941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958009259259259,27.541990740740744,0.5454545454545454,14,1,3,0,2,2,0,1,1,3,1,3,0,0,1,1,3,0.5549999999999997,54.419700000000034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OC1C(O)C(O)C(O)C(O)C1O,0.35,180.156,168.05999999999997,180.063388104,72,0,0.1109871995971122,-0.38749792699247004,0.38749792699247004,0.1109871995971122,8.973703703703704,-1.640370370370371,8.973703703703704,1.6403703703703705,2.7602520756252087,103.58797503894242,9.464101615137755,6.147383188137504,6.147383188137504,5.464101615137755,3.5491933384829673,3.5491933384829673,2.943554920379084,2.943554920379084,2.099462225655312,2.099462225655312,1.212125081135545,1.212125081135545,-0.24000000000000002,416.3143647971509,9.845034013605442,3.249570651732814,1.3266768697071722,68.32353295945941,30.63916436904423,36.62379832648981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63916436904423,0.0,0.0,0.0,0.0,36.62379832648981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.26296269553404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.38000000000001,36.62379832648981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63916436904423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.00000000000001,1.0,12,6,6,1,0,1,0,0,0,6,6,6,0,1,0,1,1,-3.8346000000000005,36.040800000000004,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC=CC=O,0.32,70.09100000000001,64.04299999999999,70.041864812,28,0,0.1420076657939182,-0.2985764972892379,0.2985764972892379,0.1420076657939182,9.318055555555556,0.75,9.318055555555556,0.75,2.9244181981729174,45.60964047443681,4.121320343559642,3.1402990980327403,3.1402990980327403,2.414213562373095,1.4797191962518086,1.4797191962518086,0.6618661865511632,0.6618661865511632,0.271017509861714,0.271017509861714,0.07856742013183866,0.07856742013183866,-0.5900000000000001,11.245112497836532,4.41,3.4100000000000006,3.410000000000001,31.305996438878882,0.0,6.286160523129555,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.076020106833881,12.999757306524504,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,6.923737199690624,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,12.152040213667762,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,0.0,6.286160523129555,6.076020106833881,12.999757306524504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.25,5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.7614000000000001,20.877999999999993,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC(N)C(=O)O,0.31,103.121,94.04899999999999,103.063328528,42,0,0.3199563426610468,-0.4800865788465548,0.4800865788465548,0.3199563426610468,9.805324074074074,-0.9282407407407403,9.805324074074074,0.49537037037037024,3.3434170589539605,72.09004635215048,5.8618073195657985,4.21726920552962,4.21726920552962,3.180739212552621,2.1650944825604674,2.1650944825604674,1.3529790307468434,1.3529790307468434,0.7570238128722786,0.7570238128722786,0.17462042625086102,0.17462042625086102,-0.5700000000000001,27.977093296928835,6.43,2.5774208427157883,2.1666482504604048,42.129723920271864,10.84019487200289,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,0.0,0.0,9.901064578912528,5.969305287951849,0.0,0.0,5.733667477162185,19.386399651764595,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.117673511940517,4.794537184071822,0.0,13.344558822616634,0.0,0.0,0.0,0.0,63.31999999999999,12.011146117099809,4.794537184071822,0.0,0.0,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,0.0,10.84019487200289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.75,7,3,3,0,0,0,0,0,0,2,2,3,2,0,0,0,0,-0.19169999999999987,25.902199999999997,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1CCC(=O)N1,0.3,99.08899999999998,94.04899999999999,99.0320284,38,0,0.22656208541281075,-0.29643861202401345,0.29643861202401345,0.22656208541281075,10.121527777777779,-0.14814814814814792,10.121527777777779,0.1481481481481477,2.5537050272065858,104.8582023226588,5.276020881938894,3.730710143300821,3.730710143300821,3.2876937002347035,2.11535507165041,2.11535507165041,1.4713526704200182,1.4713526704200182,0.8579629131445341,0.8579629131445341,0.5075641895980023,0.5075641895980023,-0.8600000000000001,46.670482779147534,4.3028664495114,1.3295815851589803,0.7648453054349857,40.70115260118571,0.0,0.0,0.0,11.814359458703011,0.0,0.0,14.905862972149976,0.0,0.0,0.0,0.0,0.0,12.841643245852019,0.0,9.589074368143644,11.814359458703011,0.0,5.316788604006331,0.0,12.841643245852019,0.0,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,11.814359458703011,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,46.17,0.0,9.589074368143644,0.0,11.814359458703011,12.841643245852019,0.0,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.833333333333336,0.5,7,1,3,0,1,1,0,0,0,2,1,3,0,0,1,1,1,-0.5770000000000002,22.383699999999994,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)C(=O)O,0.28,88.10599999999998,80.04199999999999,88.052429496,36,0,0.30542352972859976,-0.4810415895699593,0.4810415895699593,0.30542352972859976,9.699074074074074,-0.7407407407407407,9.699074074074074,0.23148148148148162,3.2575861612334887,56.568425030288566,5.1547005383792515,3.9328121551534467,3.9328121551534467,2.6427344100918364,1.871106615955975,1.871106615955975,1.492938206368118,1.492938206368118,0.49390115014267705,0.49390115014267705,0.0,0.0,-0.53,13.609640474436812,5.469999999999999,1.798837033645378,1.7581844380403455,36.789833223259144,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,13.847474399381248,0.0,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,13.847474399381248,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,5.917906046161393,0.0,0.0,0.0,13.847474399381248,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.75,6,1,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0.727,22.473799999999994,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCCCC1,0.23,99.177,86.07299999999998,99.10479941599999,42,0,-0.0021779990148631323,-0.30636847424305125,0.30636847424305125,0.0021779990148631323,2.392361111111111,1.3194444444444444,2.392361111111111,1.3194444444444444,2.1229179499593664,46.14170945007629,5.112884175122364,4.982747501432696,4.982747501432696,3.3938468501173515,3.079669127533634,3.079669127533634,2.3639360970634336,2.3639360970634336,1.5796691275336334,1.5796691275336334,1.052021455688422,1.052021455688422,-0.04,47.19725257297226,5.10367816091954,2.3141072195146584,1.4750627509406329,45.31796411648673,4.899909730850478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,32.97882804035436,0.0,0.0,0.0,0.0,0.0,4.899909730850478,0.0,19.26246486877803,20.13718479450234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.03709452535282,0.0,0.0,19.26246486877803,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,32.35197768060318,0.0,0.0,11.947581713527669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.500000000000002,1.0,7,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1.1021,31.34799999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)CC(C)=O,0.22,100.11699999999999,92.05299999999998,100.052429496,40,0,0.1366720688163241,-0.2995372651428887,0.2995372651428887,0.1366720688163241,10.033333333333333,-0.06249999999999978,10.033333333333333,0.06249999999999978,3.318019590380522,82.25327665163482,5.8618073195657985,4.523603362114273,4.523603362114273,3.125897657686229,2.1153550716504106,2.1153550716504106,1.5808069015418604,1.5808069015418604,0.49789095789068016,0.49789095789068016,0.35057704514348276,0.35057704514348276,-0.66,19.093583929800843,6.339999999999999,2.5023162734229616,5.34,42.52206368550351,0.0,11.566489892729878,0.0,0.0,0.0,0.0,9.589074368143644,0.0,0.0,0.0,0.0,13.847474399381248,0.0,6.4208216229260096,9.589074368143644,11.566489892729878,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.566489892729878,9.589074368143644,0.0,20.268296022307258,0.0,0.0,0.0,0.0,34.14,0.0,9.589074368143644,0.0,17.987311515655886,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.833333333333336,0.6,7,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0.5545,25.97899999999999,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC=O,0.15,74.079,68.03099999999999,74.036779432,30,0,0.2925654199437486,-0.46819518164403584,0.46819518164403584,0.2925654199437486,9.182638888888889,0.4305555555555556,9.182638888888889,0.4305555555555556,2.4017152226171965,26.07403392114697,4.121320343559643,3.1009536313038994,3.1009536313038994,2.414213562373095,1.4671864365723921,1.4671864365723921,0.5515668461264173,0.5515668461264173,0.23470804841064388,0.23470804841064388,0.0680413817439772,0.0680413817439772,-0.53,11.245112497836532,4.469999999999999,3.4699999999999998,3.469999999999999,30.744202586173408,4.736862953800049,0.0,0.0,0.0,6.472220864716464,0.0,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,6.606881964512918,9.53140013787187,6.472220864716464,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.079102829229381,9.53140013787187,0.0,6.923737199690624,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,0.0,13.079102829229381,0.0,0.0,6.923737199690624,0.0,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.6666666666666666,5,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0.17930000000000001,17.689999999999998,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC#N,0.15,53.06399999999999,50.04,53.026549096,20,0,0.09053137537380465,-0.19312126078672762,0.19312126078672762,0.09053137537380465,7.506944444444445,1.1805555555555556,7.506944444444445,1.1805555555555556,2.9217836800202113,48.793987519471216,3.414213562373095,2.231670645876131,2.231670645876131,1.914213562373095,0.9205302228086549,0.9205302228086549,0.33322359010551206,0.33322359010551206,0.09128709291752768,0.09128709291752768,0.0,0.0,-0.77,6.854752972273345,3.2299999999999995,2.23,1.23,25.172111905907226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,6.578935683598497,0.0,6.076020106833881,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,0.0,0.0,12.654955790432378,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,0.0,11.33111286753076,0.0,12.654955790432378,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,6.069221312792274,0.0,6.578935683598497,5.261891554738487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6959799999999999,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1CCCO1,0.11,86.134,76.05399999999999,86.07316494,36,0,0.054739048687911816,-0.3785074202433747,0.3785074202433747,0.054739048687911816,5.152777777777778,0.5462962962962961,5.152777777777778,0.5462962962962961,2.184105569636068,37.20310343869659,4.405777393935816,4.106918903213131,4.106918903213131,2.8938468501173515,2.5099759546438176,2.5099759546438176,1.8236365546127304,1.8236365546127304,1.1573569043840912,1.1573569043840912,0.7386419420963561,0.7386419420963561,-0.04,33.548875021634686,4.127785234899329,1.6056599286563615,0.716242568370987,38.30673356139363,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.765380445542643,6.606881964512918,6.103966387748303,4.736862953800049,0.0,0.0,0.0,0.0,25.869346833290944,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.71084835226122,4.736862953800049,0.0,19.765380445542643,0.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,6.103966387748303,6.606881964512918,12.841643245852019,0.0,0.0,6.923737199690624,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333332,1.0,6,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1.1853,24.64799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
