,Mass,1st ionization E,Atomic radius,Density,Electron affinity,Fusion heart,Thermal conductivity,Valence,Symbol
28,63.55,745.5,135.0,8960.0,119.24,13.26,401.0,11,Cu
29,65.38,906.4,135.0,7134.0,,7.32,116.0,12,Zn
30,69.72,578.8,130.0,5907.0,41.0,5.59,40.6,3,Ga
31,72.63,762.0,125.0,5323.0,118.94,36.94,60.2,4,Ge
32,74.92,947.0,115.0,5776.0,78.5,24.44,50.2,5,As
33,78.96,941.0,115.0,4809.0,194.97,6.69,0.52,6,Se
34,79.9,1139.9,115.0,3122.0,342.54,10.57,0.12,7,Br
35,83.8,1350.8,88.0,3.73,,1.64,0.01,8,Kr
36,85.47,403.0,235.0,1532.0,46.89,2.19,58.2,1,Rb
37,87.62,549.5,200.0,2640.0,5.02,7.43,35.4,2,Sr
38,88.91,600.0,180.0,4469.0,30.0,11.42,17.2,3,Y
39,91.22,640.1,155.0,6506.0,41.0,14.0,22.6,4,Zr
40,92.91,652.1,145.0,8570.0,86.0,30.0,53.7,5,Nb
41,95.96,684.3,145.0,10220.0,72.3,37.48,138.0,6,Mo
42,98.0,702.0,135.0,11500.0,,33.29,50.6,7,Tc
43,101.07,710.2,130.0,12370.0,101.0,38.59,117.0,8,Ru
44,102.91,719.7,135.0,12410.0,110.3,26.59,150.0,9,Rh
45,106.42,804.4,140.0,12020.0,54.24,16.74,71.8,12,Pd
46,107.87,731.0,160.0,10501.0,125.86,11.28,429.0,11,Ag
47,112.41,867.8,155.0,8690.0,,6.21,96.6,12,Cd
48,114.82,558.3,155.0,7310.0,39.0,3.28,81.8,3,In
49,118.71,708.6,145.0,7287.0,107.3,7.03,66.8,4,Sn
50,121.76,834.0,145.0,6685.0,101.06,19.79,24.4,5,Sb
51,127.6,869.3,140.0,6232.0,190.16,17.49,3.0,6,Te
52,126.9,1008.4,140.0,4930.0,295.0,15.52,0.45,7,I
53,131.29,1170.4,108.0,5.89,,2.27,0.01,8,Xe
54,132.91,375.7,260.0,1873.0,45.51,2.09,35.9,1,Cs
55,137.33,502.9,215.0,3594.0,13.95,7.12,18.4,2,Ba
56,138.91,538.1,195.0,6145.0,45.0,6.2,13.4,2,La
57,140.12,534.4,185.0,6770.0,92.0,5.46,11.3,2,Ce
58,140.91,527.0,185.0,6773.0,,6.89,12.5,2,Pr
59,144.24,533.1,185.0,7007.0,,7.14,16.5,2,Nd
60,145.0,540.0,185.0,7260.0,,7.13,17.9,2,Pm
61,150.36,544.5,185.0,7520.0,,8.62,13.3,2,Sm
62,151.96,547.1,185.0,5243.0,,9.21,13.9,2,Eu
63,157.25,593.4,180.0,7895.0,,10.05,10.6,2,Gd
64,158.93,565.8,175.0,8229.0,,10.15,11.1,2,Tb
65,162.5,573.0,175.0,8550.0,,11.06,10.7,2,Dy
66,164.93,581.0,175.0,8795.0,,17.0,16.2,2,Ho
67,167.26,589.3,175.0,9066.0,,19.9,14.5,2,Er
68,168.93,596.7,175.0,9321.0,99.0,16.84,16.9,2,Tm
69,173.05,603.4,175.0,6965.0,,7.66,38.5,2,Yb
70,174.97,523.5,175.0,9840.0,33.0,22.0,16.4,3,Lu
71,178.49,658.5,155.0,13310.0,,27.2,23.0,4,Hf
72,180.95,761.0,145.0,16654.0,31.0,36.57,57.5,5,Ta
73,183.84,770.0,135.0,19250.0,79.0,52.31,173.0,6,W
74,186.21,760.0,135.0,21020.0,,60.43,48.0,7,Re
75,190.23,840.0,130.0,22610.0,104.0,57.85,87.6,8,Os
76,192.22,880.0,135.0,22560.0,150.9,41.12,147.0,9,Ir
77,195.08,870.0,135.0,21460.0,205.04,22.17,71.6,10,Pt
78,196.97,890.1,135.0,19282.0,222.75,12.55,318.0,11,Au
79,200.59,1007.1,150.0,13533.6,,2.29,8.3,12,Hg
80,204.38,589.4,190.0,11850.0,36.0,4.14,46.1,3,Tl
81,207.2,715.6,180.0,11342.0,35.0,4.77,35.3,4,Pb
82,208.98,703.0,160.0,9807.0,90.92,11.3,7.97,5,Bi
83,209.0,812.1,190.0,9320.0,,13.0,0.2,6,Po
84,210.0,34256.3,,7000.0,,6.0,1.7,7,At
85,222.0,1037.0,120.0,9.73,,3.25,0.0,8,Rn
86,223.0,380.0,,1870.0,,2.0,,1,Fr
87,226.0,509.3,215.0,5500.0,,8.5,18.6,2,Ra
88,227.0,499.0,195.0,10070.0,,14.0,12.0,2,Ac
89,232.04,587.0,180.0,11720.0,,13.81,54.0,2,Th
90,231.04,568.0,180.0,15370.0,,12.34,47.0,2,Pa
91,238.03,597.6,175.0,18950.0,,9.14,27.5,2,U
92,237.0,604.5,175.0,20450.0,,3.2,6.3,2,Np
93,244.0,584.7,175.0,19840.0,,2.82,6.74,2,Pu
94,243.0,578.0,175.0,13690.0,,14.39,10.0,2,Am
95,247.0,581.0,,13510.0,,,,2,Cm
96,247.0,601.0,,14790.0,,,10.0,2,Bk
97,251.0,608.0,,15100.0,,,,2,Cf
98,252.0,619.0,,13500.0,,,,2,Es
99,257.0,627.0,,,,,,2,Fm
